9,38,10,67,39,68,23,27,35,64,48,68
33,19,26,64,58,68,37,21,15,63,60,68
37,38,34,49,64,68,34,37,4,56,55,68
25,35,21,58,44,68,7,32,22,55,56,68
25,17,10,64,39,68,33,11,32,41,56,68
31,13,3,46,55,68,28,32,0,41,67,68
31,27,22,39,49,68,37,11,21,44,50,68
1,5,23,62,47,68,31,26,6,39,47,68
4,8,36,59,54,68,35,9,20,49,60,68
34,27,30,39,66,68,16,38,14,50,52,68
17,1,29,63,40,68,1,20,33,65,55,68
5,14,17,55,46,68,33,25,22,43,54,68
32,21,27,55,58,68,37,12,19,67,51,68
9,37,35,39,65,68,8,16,5,62,44,68
22,9,34,57,53,68,38,4,35,44,47,68
34,30,19,63,56,68,35,15,5,44,45,68
1,5,22,50,66,68,32,29,20,67,48,68
37,27,17,51,66,68,35,32,11,49,39,68
7,25,26,56,62,68,1,9,37,52,43,68
9,31,26,50,60,68,12,0,14,42,54,68
33,29,28,64,62,68,18,32,14,56,42,68
29,36,26,47,50,68,28,36,30,66,64,68
13,0,2,65,39,68,16,2,12,41,44,68
27,24,35,40,44,68,24,15,12,45,57,68
10,0,31,40,55,68,36,4,1,39,50,68
32,25,7,59,39,68,17,33,19,42,60,68
7,32,18,57,65,68,7,8,27,65,58,68
33,26,14,47,64,68,8,26,0,55,44,68
35,33,2,61,64,68,8,32,18,41,44,68
35,26,24,46,45,68,12,10,17,53,58,68
35,19,35,47,45,68,12,3,16,46,66,68
6,14,19,45,52,68,1,35,15,39,59,68
6,34,22,44,42,68,20,1,12,45,59,68
7,6,38,59,51,68,32,29,20,46,54,68
13,35,8,60,48,68,33,26,19,45,49,68
36,5,35,51,46,68,26,28,6,57,64,68
20,34,21,61,66,68,3,34,22,59,42,68
8,1,0,48,47,68,32,1,5,64,57,68
13,3,25,55,53,68,32,22,13,62,54,68
38,21,34,63,59,68,17,5,23,65,47,68
15,18,3,52,65,68,20,0,35,61,58,68
24,12,26,43,46,68,14,7,18,52,53,68
24,33,18,62,45,68,20,23,3,45,40,68
4,0,5,48,62,68,32,11,7,62,43,68
37,20,15,65,58,68,31,5,30,56,60,68
12,1,35,40,47,68,19,4,2,60,66,68
11,3,11,57,49,68,4,21,4,57,56,68
24,14,2,43,64,68,31,13,2,39,54,68
32,9,16,59,40,68,11,15,6,39,58,68
10,17,27,66,54,68,14,19,38,51,53,68
33,27,0,40,49,68,9,34,28,62,46,68
3,19,27,51,47,68,21,22,20,57,49,68
32,26,14,42,48,68,9,27,22,59,43,68
0,25,24,52,50,68,29,24,6,52,67,68
26,16,18,47,63,68,35,33,6,62,64,68
26,28,34,47,39,68,20,33,14,54,62,68
10,12,3,40,42,68,14,7,38,65,54,68
11,27,19,66,46,68,14,16,5,46,61,68
38,35,26,56,42,68,10,14,6,51,49,68
29,14,21,42,44,68,8,27,17,61,53,68
2,0,11,49,53,68,31,7,36,66,48,68
6,5,3,60,46,68,28,1,33,50,60,68
18,22,1,63,60,68,18,22,24,64,42,68
31,20,34,64,52,68,0,37,34,58,44,68
31,29,35,61,58,68,28,23,10,66,46,68
17,7,36,57,56,68,35,28,7,40,56,68
32,18,10,40,64,68,18,27,12,59,53,68
37,2,11,45,49,68,33,36,35,52,39,68
12,31,3,61,58,68,17,31,34,61,51,68
20,34,19,56,59,68,12,33,26,51,53,68
26,9,21,59,61,68,33,18,19,55,66,68
26,12,22,46,50,68,24,14,13,65,58,68
16,37,7,48,62,68,20,3,36,56,59,68
8,32,18,47,65,68,9,4,12,63,67,68
4,34,13,50,40,68,7,12,38,60,48,68
